chrom	chromStart	chromEnd
chr1	121236957	123476957
chr2	91689898	94689898
chr3	90587544	93487544
chr4	49354874	52354874
chr5	46441398	49441398
chr6	58938125	61938125
chr7	58058273	61058273
chr8	43958052	46958052
chr9	47107499	50107499
chrX	58598737	61598737
chrY	11253954	11653954
chr10	39244941	41624941
chr11	51450781	54450781
chr12	34747961	36142961
chr13	16000000	17868000
chr14	15070000	18070000
chr15	15260000	18260000
chr16	35143302	36943302
chr17	22187133	22287133
chr18	15400898	16764896
chr19	26923622	29923622
chr20	26267569	28033230
chr21	10260000	13260000
chr22	11330000	14330000
